IntervalEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
08/11/2021 10:05,16783.333984375,2174.22973632812,4232.79833984375,1543.71374511719,17361.1796875,8532.625,4263.18603515625,1516.64831542969,56407.71875,A6,N,N
08/11/2021 10:05,16775.5,2174.36010742188,4231.33984375,1542.68994140625,17365.19921875,8523.91015625,4265.14990234375,1515.5,56393.64453125,E,Y,N
08/11/2021 10:10,16886.69921875,2186.64990234375,4239.669921875,1549.68994140625,17480,8568.76953125,4296.14013671875,1524.21997070313,56731.83984375,E,Y,N
08/11/2021 10:10,16890.54296875,2188.92358398437,4238.7138671875,1555.28295898437,17475.27734375,8588.7607421875,4292.8388671875,1526.97241210938,56757.31640625,A6,N,N
08/11/2021 10:15,16990.69921875,2198.94995117188,4245.25,1559.02001953125,17598.900390625,8623.0400390625,4329.3798828125,1533.39001464844,57078.62890625,E,Y,N
08/11/2021 10:15,16996.1953125,2203.59838867187,4244.80615234375,1566.63793945312,17588.810546875,8644.68359375,4322.20751953125,1537.56408691406,57104.5,A6,N,N
08/11/2021 10:20,17095.5,2214.40991210937,4250.990234375,1567.41003417969,17715.80078125,8675.509765625,4362.68994140625,1540.98999023438,57423.296875,E,Y,N
08/11/2021 10:20,17100.287109375,2218.25390625,4251.07470703125,1577.77880859375,17701.77734375,8700.392578125,4351.29248046875,1548.42333984375,57449.27734375,A6,N,N
08/11/2021 10:25,17202.8203125,2232.89013671875,4257.52001953125,1588.70532226563,17814.17578125,8755.888671875,4380.0927734375,1559.55017089844,57791.64453125,A6,N,N
08/11/2021 10:25,17198.900390625,2230.90991210938,4257.02978515625,1575.41003417969,17833.099609375,8722.3798828125,4394.43994140625,1547.81005859375,57759.98046875,E,Y,N
08/11/2021 10:30,17300.400390625,2248.4599609375,4263.81005859375,1582.43005371094,17949.900390625,8766.150390625,4424.990234375,1554.10998535156,58090.25,E,Y,N
08/11/2021 10:30,17303.794921875,2247.50732421875,4264.1416015625,1599.41760253906,17926.009765625,8811.1708984375,4408.609375,1570.94470214844,58131.6015625,A6,N,N
08/11/2021 10:35,17399.80078125,2265.42993164062,4271.9599609375,1589.78002929687,18067.5,8811.4599609375,4455.81005859375,1560.2099609375,58421.94921875,E,Y,N
08/11/2021 10:35,17403.2109375,2262.10522460938,4270.93994140625,1609.91577148437,18037.275390625,8866.240234375,4436.841796875,1582.60681152344,58469.13671875,A6,N,N
08/11/2021 10:40,17501.068359375,2276.68408203125,4277.91455078125,1620.19970703125,18147.9765625,8921.0966796875,4464.79052734375,1594.53649902344,58804.265625,A6,N,N
