INTERVAL_ENDING,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
08/11/2021 08:00,14879.97,1881.2,12138.97,859.79,N
08/11/2021 08:05,14681.83,1829.1,11999.59,853.15,N
08/11/2021 08:10,14489.47,1770,11874.17,845.31,N
08/11/2021 08:15,14237.03,1663.63,11733.41,840,N
08/11/2021 08:20,14091.22,1623.08,11628.93,839.2,N
08/11/2021 08:25,14009.46,1577.93,11583.41,848.12,N
08/11/2021 08:30,13990.84,1520.36,11606.02,864.47,N
08/11/2021 08:35,13972.39,1493.81,11609.28,869.31,N
08/11/2021 08:40,13955.81,1455.24,11634.93,865.64,N
08/11/2021 08:45,13955.13,1474.84,11606.37,873.92,N
08/11/2021 08:50,13914.72,1474.52,11568.8,871.4,N
08/11/2021 08:55,14087.69,1556.68,11654.02,876.98,N
