IntervalEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West
8/11/2021 0:00,15300.46582,1928.009155,4179.396484,1499.295898,16869.53125,8255.665039,4086.925537,1649.59082
8/11/2021 0:05,15232.96094,1917.376343,4171.112305,1492.592285,16768.73828,8199.117188,4069.294189,1646.501465
8/11/2021 0:10,15166.95313,1906.975098,4162.884766,1486.086914,16669.69922,8143.759277,4051.599121,1643.614746
8/11/2021 0:15,15102.44141,1896.80542,4154.713867,1479.779907,16572.41602,8089.591797,4033.84082,1640.930786
8/11/2021 0:20,15039.42578,1886.86731,4146.599121,1473.671021,16476.88672,8036.614746,4016.019043,1638.449585
8/11/2021 0:25,14977.9082,1877.160767,4138.541504,1467.760376,16383.11133,7984.828613,3998.133789,1636.171021
8/11/2021 0:30,14917.88672,1867.685791,4130.540039,1462.047974,16291.09082,7934.232422,3980.185303,1634.095337
8/11/2021 0:35,14774.81543,1920.331177,4122.839844,1448.093628,16163.04004,7812.389648,3801.667236,1568.766113
8/11/2021 0:40,14802.33301,1849.43042,4114.707031,1451.218018,16112.31348,7836.611816,3944.097412,1630.552002
8/11/2021 0:45,14659.46875,1901.900269,4115.717773,1435.062744,16009.7793,7717.495117,3762.390869,1552.495483
8/11/2021 0:50,14692.7666,1832.10144,4099.100586,1441.18103,15940.55371,7743.752441,3907.756104,1627.81958
8/11/2021 0:55,14640.22852,1823.784302,4091.382324,1436.459961,15857.30566,7699.108887,3889.48999,1626.757446
8/11/2021 1:00,14589.18652,1815.698608,4083.720459,1431.937134,15775.81152,7655.655273,3871.160645,1625.898071
8/11/2021 1:05,14439.55078,1866.089722,4099.341309,1410.525024,15721.4873,7544.424316,3689.658936,1524.446289
8/11/2021 1:10,14382.88281,1766.074707,4089.191162,1403.270142,15588.32129,7471.538574,3675.82373,1550.999146
8/11/2021 1:15,14334.97949,1848.710083,4090.086914,1399.018066,15586.45703,7466.248047,3656.203125,1512.667725
8/11/2021 1:20,14271.49316,1747.991821,4080.681152,1390.695679,15455.06641,7396.222656,3644.603516,1541.570557
8/11/2021 1:25,14234,1831.680786,4080.12207,1388.019165,15457.50293,7393.644531,3624.6875,1502.386475
8/11/2021 1:30,14166.35254,1730.542236,4071.140869,1378.96106,15327.66504,7324.954102,3614.981689,1532.832153
8/11/2021 1:35,14116.12598,1722.054932,4065.984619,1373.408569,15266.1582,7290.837402,3600.770264,1528.721802
8/11/2021 1:40,14089.26563,1806.793701,4063.842529,1372.473389,15275.46582,7295.188965,3581.052246,1489.771973
8/11/2021 1:45,14042.81738,1798.673218,4058.060547,1367.54541,15217.8252,7265.156738,3567.477051,1486.315796
8/11/2021 1:50,13997.2666,1790.640259,4052.101074,1362.744507,15161.70313,7236.518066,3554.387207,1483.233887
8/11/2021 1:55,13930.8418,1689.688721,4042.782959,1353.298584,15034.76758,7164.487793,3547.920654,1514.005859
8/11/2021 2:00,13908.85938,1774.83728,4039.648926,1353.52356,15054.01758,7183.419922,3529.662354,1478.193237
8/11/2021 2:05,13866.00195,1767.067139,4033.156494,1349.103638,15002.4541,7158.960449,3518.027344,1476.234375
8/11/2021 2:10,13933.83691,1658.427368,4020.519775,1347.013916,14825.03418,7026.425293,3507.199219,1501.423462
8/11/2021 2:15,13897.99023,1650.934082,4010.943604,1343.845703,14775.00391,7002.614746,3496.374268,1499.586792
8/11/2021 2:20,13734.38672,1652.793335,4007.986084,1332.88501,14778.4541,7029.313965,3490.850098,1499.493408
