IntervalEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
2021-08-10 22:05:00,17165.099609375,2226.3798828125,4335.02978515625,1685.40002441406,19596.0,9795.6201171875,4605.56005859375,1804.81005859375,61213.8984375,E,Y,N
2021-08-10 22:10:00,17061.5,2202.9599609375,4329.97998046875,1674.88000488281,19454.099609375,9718.580078125,4576.6201171875,1791.68005371094,60810.30078125,E,Y,N
2021-08-10 22:15:00,16971.30078125,2186.52001953125,4324.580078125,1665.0,19306.19921875,9649.76953125,4551.31005859375,1779.60998535156,60434.2890625,E,Y,N
2021-08-10 22:20:00,16891.5,2172.0,4321.35986328125,1657.18994140625,19174.5,9588.7900390625,4527.31005859375,1768.5,60101.14453125,E,Y,N
2021-08-10 22:25:00,16813.30078125,2159.11010742188,4317.91015625,1649.15002441406,19045.80078125,9529.849609375,4502.75,1758.15002441406,59776.0234375,E,Y,N
2021-08-10 22:30:00,16730.80078125,2144.96997070313,4312.41015625,1640.7399902343802,18917.599609375,9466.919921875,4476.3701171875,1747.5100097656198,59437.328125,E,Y,N
2021-08-10 22:35:00,16644.19921875,2129.21997070313,4304.85009765625,1632.88000488281,18791.599609375,9402.0498046875,4448.7900390625,1736.65002441406,59090.23828125,E,Y,N
2021-08-10 22:40:00,16557.400390625,2111.97998046875,4295.91015625,1625.42004394531,18666.69921875,9340.25,4421.35009765625,1726.25,58745.26171875,E,Y,N
2021-08-10 22:45:00,16472.900390625,2097.06005859375,4286.72998046875,1617.59997558594,18538.5,9280.4404296875,4394.77001953125,1716.4699707031302,58404.46875,E,Y,N
2021-08-10 22:50:00,16390.5,2083.01000976562,4277.83984375,1609.18005371094,18405.69921875,9219.2900390625,4368.18994140625,1707.0100097656302,58060.71875,E,Y,N
2021-08-10 22:55:00,16307.0,2068.81005859375,4269.6201171875,1600.7099609375,18269.599609375,9155.0,4340.81005859375,1697.86999511719,57709.421875,E,Y,N
2021-08-10 23:00:00,16220.599609375,2052.72998046875,4261.93017578125,1592.9699707031302,18131.0,9088.1201171875,4312.5400390625,1689.18005371094,57349.0703125,E,Y,N
2021-08-10 23:05:00,16131.2998046875,2036.06005859375,4253.919921875,1585.92004394531,17989.599609375,9017.8603515625,4283.75,1680.13000488281,56978.53515625,E,Y,N
2021-08-10 23:05:00,16139.599609375,2059.06005859375,4274.830078125,1588.35998535156,18072.80078125,8956.259765625,4264.14990234375,1691.81005859375,57046.86328125,E,Y,N
2021-08-10 23:10:00,16042.7001953125,2018.32995605469,4244.7099609375,1577.5300292968802,17847.30078125,8946.58984375,4255.580078125,1670.32995605469,56603.0703125,E,Y,N
2021-08-10 23:10:00,16049.5,2037.5100097656302,4266.18994140625,1579.7900390625,17935.400390625,8886.0400390625,4236.22021484375,1684.2199707031198,56674.8671875,E,Y,N
2021-08-10 23:15:00,15957.5,2004.08996582031,4234.89990234375,1568.39001464844,17708.900390625,8877.4697265625,4228.7099609375,1659.84997558594,56239.8125,E,Y,N
2021-08-10 23:15:00,15964.2001953125,2025.0400390625,4256.2900390625,1570.72998046875,17797.599609375,8818.400390625,4209.14013671875,1673.15002441406,56314.546875,E,Y,N
2021-08-10 23:20:00,15883.0,2011.64001464844,4246.89013671875,1562.75,17670.099609375,8751.8203125,4182.919921875,1663.2199707031302,55972.34375,E,Y,N
2021-08-10 23:20:00,15876.2998046875,1990.7600097656198,4225.58984375,1560.3000488281198,17579.400390625,8810.0302734375,4202.56982421875,1650.08996582031,55895.04296875,E,Y,N
2021-08-10 23:25:00,15796.2998046875,1976.67004394531,4217.330078125,1553.31005859375,17459.19921875,8744.16015625,4176.14990234375,1641.42004394531,55564.54296875,E,Y,N
2021-08-10 23:25:00,15803.0,1997.4699707031198,4238.56005859375,1555.84997558594,17551.900390625,8686.650390625,4156.39990234375,1654.35998535156,55644.1875,E,Y,N
2021-08-10 23:30:00,15716.0,1963.97998046875,4209.8798828125,1546.36999511719,17343.400390625,8680.2900390625,4149.68017578125,1633.41003417969,55243.0078125,E,Y,N
2021-08-10 23:30:00,15722.7001953125,1984.84997558594,4231.08984375,1548.9499511718698,17437.900390625,8623.58984375,4129.830078125,1646.25,55325.1640625,E,Y,N
2021-08-10 23:35:00,15636.2998046875,1953.9499511718802,4202.64013671875,1539.59997558594,17228.69921875,8619.7998046875,4123.7001953125,1625.67004394531,54930.359375,E,Y,N
2021-08-10 23:35:00,15643.0,1975.0100097656302,4223.919921875,1542.2099609375,17324.900390625,8564.0,4103.740234375,1638.5500488281198,55015.33203125,E,Y,N
2021-08-10 23:40:00,15566.2001953125,1965.5500488281302,4216.41015625,1535.7099609375,17213.5,8506.6904296875,4078.19995117188,1631.56005859375,54713.8203125,E,Y,N
2021-08-10 23:40:00,15559.5,1944.34997558594,4194.97021484375,1533.06994628906,17115.599609375,8561.5302734375,4098.259765625,1618.59997558594,54625.8828125,E,Y,N
2021-08-10 23:45:00,15485.7998046875,1932.0500488281302,4186.72021484375,1525.88000488281,17005.099609375,8505.76953125,4073.38989257813,1612.36999511719,54327.08203125,E,Y,N
2021-08-10 23:45:00,15492.5,1953.3000488281198,4208.3701171875,1528.57995605469,17104.5,8451.8203125,4053.22998046875,1625.31994628906,54417.62109375,E,Y,N
2021-08-10 23:50:00,15420.2998046875,1939.5300292968802,4201.08984375,1521.43994140625,16994.599609375,8395.8798828125,4027.7099609375,1618.32995605469,54118.87890625,E,Y,N
2021-08-10 23:50:00,15413.7001953125,1918.33996582031,4179.25,1518.68994140625,16893.599609375,8448.9697265625,4047.9599609375,1605.5400390625,54026.046875,E,Y,N
2021-08-10 23:55:00,15340.400390625,1901.7199707031198,4173.4599609375,1512.2099609375,16779.900390625,8391.0,4021.88989257813,1598.27001953125,53718.85546875,E,Y,N
2021-08-10 23:55:00,15347.099609375,1922.82995605469,4195.5,1514.97998046875,16882.80078125,8338.7197265625,4001.56005859375,1610.8000488281198,53814.2890625,E,Y,N
2021-08-11 00:00:00,15271.7998046875,1907.86999511719,4190.9501953125,1509.11999511719,16768.900390625,8279.7001953125,3974.46997070313,1602.91003417969,53505.71875,E,Y,N
2021-08-11 00:00:00,15265.099609375,1886.64001464844,4168.72998046875,1506.2900390625,16664.30078125,8331.3896484375,3995.03002929687,1590.66003417969,53408.14453125,E,Y,N
2021-08-11 00:05:00,15196.5,1897.7099609375,4185.83984375,1501.58996582031,16654.099609375,8220.759765625,3949.42993164062,1594.43994140625,53200.37109375,E,Y,N
2021-08-11 00:10:00,15124.5,1888.72998046875,4179.77001953125,1492.7600097656302,16541.0,8161.509765625,3926.90991210938,1583.57995605469,52898.75390625,E,Y,N
2021-08-11 00:15:00,15055.900390625,1874.58996582031,4172.81982421875,1484.5500488281198,16434.30078125,8104.52001953125,3905.830078125,1571.7800292968802,52604.296875,E,Y,N
2021-08-11 00:20:00,14989.400390625,1858.93994140625,4165.759765625,1479.39001464844,16336.2998046875,8049.31005859375,3883.8701171875,1561.17004394531,52324.140625,E,Y,N
2021-08-11 00:25:00,14924.400390625,1847.13000488281,4159.3798828125,1475.2800292968802,16243.0,7995.240234375,3862.11010742187,1552.34997558594,52058.890625,E,Y,N
2021-08-11 00:30:00,14861.7001953125,1838.2199707031302,4153.9501953125,1470.72998046875,16152.5,7941.33984375,3841.38989257813,1545.0400390625,51804.87109375,E,Y,N
2021-08-11 00:30:00,14830.2998046875,1931.68994140625,4124.0,1456.9499511718698,16232.2001953125,7852.56982421875,3822.19995117187,1578.5,51828.41015625,E,Y,N
2021-08-11 00:35:00,14768.599609375,1921.16003417969,4118.330078125,1451.5300292968698,16141.0,7810.490234375,3802.03002929687,1573.2199707031302,51586.359375,E,Y,N
