IntervalEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
2021-08-10 22:05:00,17165.099609375,2226.3798828125,4335.02978515625,1685.40002441406,19596.0,9795.6201171875,4605.56005859375,1804.81005859375,61213.8984375,E,Y,N
2021-08-10 22:05:00,17180.3125,2231.56958007812,4338.0732421875,1682.53820800781,19639.021484375,9809.599609375,4614.82861328125,1807.5041503906198,61303.44921875,A6,N,N
2021-08-10 22:10:00,17061.5,2202.9599609375,4329.97998046875,1674.88000488281,19454.099609375,9718.580078125,4576.6201171875,1791.68005371094,60810.30078125,E,Y,N
2021-08-10 22:10:00,17094.734375,2219.7919921875,4331.3427734375,1672.5712890625,19510.75390625,9748.837890625,4594.12646484375,1798.88232421875,60971.0390625,A6,N,N
2021-08-10 22:15:00,17009.658203125,2207.96362304688,4324.67626953125,1662.73229980469,19383.375,9687.74609375,4573.30712890625,1790.2072753906198,60639.66796875,A6,N,N
2021-08-10 22:15:00,16971.30078125,2186.52001953125,4324.580078125,1665.0,19306.19921875,9649.76953125,4551.31005859375,1779.60998535156,60434.2890625,E,Y,N
2021-08-10 22:20:00,16925.087890625,2196.08422851563,4318.0732421875,1653.02136230469,19256.8828125,9626.3251953125,4552.37109375,1781.47900390625,60309.32421875,A6,N,N
2021-08-10 22:20:00,16891.5,2172.0,4321.35986328125,1657.18994140625,19174.5,9588.7900390625,4527.31005859375,1768.5,60101.14453125,E,Y,N
2021-08-10 22:25:00,16841.01953125,2184.15380859375,4311.53369140625,1643.43835449219,19131.279296875,9564.5732421875,4531.31787109375,1772.69763183594,59980.01171875,A6,N,N
2021-08-10 22:25:00,16813.30078125,2159.11010742188,4317.91015625,1649.15002441406,19045.80078125,9529.849609375,4502.75,1758.15002441406,59776.0234375,E,Y,N
2021-08-10 22:30:00,16757.45703125,2172.1728515625,4305.05859375,1633.9833984375,19006.564453125,9502.4921875,4510.14794921875,1763.8630371093802,59651.73828125,A6,N,N
2021-08-10 22:30:00,16730.80078125,2144.96997070313,4312.41015625,1640.7399902343802,18917.599609375,9466.919921875,4476.3701171875,1747.5100097656198,59437.328125,E,Y,N
2021-08-10 22:35:00,16644.19921875,2129.21997070313,4304.85009765625,1632.88000488281,18791.599609375,9402.0498046875,4448.7900390625,1736.65002441406,59090.23828125,E,Y,N
2021-08-10 22:35:00,16674.396484375,2160.140625,4298.646484375,1624.65637207031,18882.736328125,9440.080078125,4488.86083984375,1754.97521972656,59324.4921875,A6,N,N
2021-08-10 22:40:00,16557.400390625,2111.97998046875,4295.91015625,1625.42004394531,18666.69921875,9340.25,4421.35009765625,1726.25,58745.26171875,E,Y,N
2021-08-10 22:40:00,16591.83984375,2148.05786132812,4292.298828125,1615.45739746094,18759.796875,9377.3388671875,4467.45703125,1746.03430175781,58998.28515625,A6,N,N
2021-08-10 22:45:00,16472.900390625,2097.06005859375,4286.72998046875,1617.59997558594,18538.5,9280.4404296875,4394.77001953125,1716.4699707031302,58404.46875,E,Y,N
2021-08-10 22:45:00,16509.7890625,2135.92407226562,4286.01416015625,1606.38635253906,18637.744140625,9314.267578125,4445.93603515625,1737.0400390625,58673.1015625,A6,N,N
2021-08-10 22:50:00,16428.240234375,2123.73950195312,4279.7939453125,1597.44323730469,18516.580078125,9250.8662109375,4424.29833984375,1727.99279785156,58348.953125,A6,N,N
2021-08-10 22:50:00,16390.5,2083.01000976562,4277.83984375,1609.18005371094,18405.69921875,9219.2900390625,4368.18994140625,1707.0100097656302,58060.71875,E,Y,N
2021-08-10 22:55:00,16347.1943359375,2111.50390625,4273.63720703125,1588.62829589844,18396.302734375,9187.134765625,4402.5439453125,1718.89221191406,58025.83203125,A6,N,N
2021-08-10 22:55:00,16307.0,2068.81005859375,4269.6201171875,1600.7099609375,18269.599609375,9155.0,4340.81005859375,1697.86999511719,57709.421875,E,Y,N
2021-08-10 23:00:00,16220.599609375,2052.72998046875,4261.93017578125,1592.9699707031302,18131.0,9088.1201171875,4312.5400390625,1689.18005371094,57349.0703125,E,Y,N
2021-08-10 23:00:00,16266.6533203125,2099.21752929687,4267.5439453125,1579.9411621093698,18276.9140625,9123.0732421875,4380.67236328125,1709.7385253906198,57703.75390625,A6,N,N
2021-08-10 23:05:00,16186.6162109375,2086.88012695313,4261.5146484375,1571.3820800781302,18158.412109375,9058.6826171875,4358.68359375,1700.53173828125,57382.703125,A6,N,N
2021-08-10 23:05:00,16131.2998046875,2036.06005859375,4253.919921875,1585.92004394531,17989.599609375,9017.8603515625,4283.75,1680.13000488281,56978.53515625,E,Y,N
2021-08-10 23:10:00,16107.08203125,2074.4921875,4255.54931640625,1562.95104980469,18040.798828125,8993.9609375,4336.578125,1691.27160644531,57062.6875,A6,N,N
2021-08-10 23:10:00,16042.7001953125,2018.32995605469,4244.7099609375,1577.5300292968802,17847.30078125,8946.58984375,4255.580078125,1670.32995605469,56603.0703125,E,Y,N
2021-08-10 23:15:00,15957.5,2004.08996582031,4234.89990234375,1568.39001464844,17708.900390625,8877.4697265625,4228.7099609375,1659.84997558594,56239.8125,E,Y,N
2021-08-10 23:15:00,16028.0517578125,2062.05297851563,4249.6474609375,1554.64794921875,17924.072265625,8928.91015625,4314.35595703125,1681.95837402344,56743.69921875,A6,N,N
2021-08-10 23:20:00,15949.5263671875,2049.56323242188,4243.8095703125,1546.4729003906198,17808.236328125,8863.5283203125,4292.0166015625,1672.5920410156198,56425.74609375,A6,N,N
2021-08-10 23:20:00,15876.2998046875,1990.7600097656198,4225.58984375,1560.3000488281198,17579.400390625,8810.0302734375,4202.56982421875,1650.08996582031,55895.04296875,E,Y,N
