INTERVAL_ENDING,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH
8/11/2021 0:00,2439.29,11734.22,833.18
8/11/2021 0:05,3414.4,16539.45,1169.17
8/11/2021 0:10,3389.28,16505.8,1174.2
8/11/2021 0:15,3379.5,16470.68,1175.61
8/11/2021 0:20,3360.58,16426.97,1175.8
8/11/2021 0:25,3312.01,16351.5,1159.84
8/11/2021 0:30,3293.56,16346.89,1151.62
8/11/2021 0:35,3304.56,16291.69,1145.02
8/11/2021 0:40,3343.63,16322.5,1153.1
8/11/2021 0:45,3372.7,16325.37,1149.61
8/11/2021 0:50,3366.47,16298.25,1149.56
8/11/2021 0:55,3380.41,16286.62,1149.27
8/11/2021 1:00,3450.36,16284.84,1143.18
8/11/2021 1:05,3486.21,16238.53,1152.59
8/11/2021 1:10,3481.61,16368.78,1152.14
8/11/2021 1:15,3495.15,16355.22,1151.76
8/11/2021 1:20,3498.76,16341.57,1148.06
8/11/2021 1:25,3508.23,16287.22,1132.06
8/11/2021 1:30,3507.38,16233.65,1136.74
8/11/2021 1:35,3510.9,16217.1,1132.08
8/11/2021 1:40,3500.45,16160.54,1117.75
8/11/2021 1:45,3513.35,16073.11,1112.91
8/11/2021 1:50,3512.83,16066.16,1110.61
8/11/2021 1:55,3516.63,16076.4,1116.66
8/11/2021 2:00,3505.69,16045.93,1121.12
8/11/2021 2:05,3483.14,16003.11,1113.93
8/11/2021 2:10,3473.04,15981.62,1108.54
8/11/2021 2:15,3449,15956.64,1103.49
8/11/2021 2:20,3383.09,15884.1,1098.73
8/11/2021 2:25,3330.85,15889.92,1087.36
8/11/2021 2:30,3252.61,15826.08,1083.95
8/11/2021 2:35,3208.14,15703.88,1067.02
8/11/2021 2:40,3152.34,15678.2,1058.16
8/11/2021 2:45,3124.8,15624.39,1048.54
8/11/2021 2:50,3069.26,15623.63,1047.84
8/11/2021 2:55,3038.35,15628.29,1053.03
8/11/2021 3:00,2992.19,15592.74,1048.4
8/11/2021 3:05,2975.11,15570.61,1062.63
8/11/2021 3:10,2935.69,15480.71,1077.77
8/11/2021 3:15,2912.08,15503.82,1091.37
8/11/2021 3:20,2882.24,15494.42,1096.49
8/11/2021 3:25,2846.04,15465.06,1095.41
8/11/2021 3:30,2777.21,15477.45,1085.89
8/11/2021 3:35,2731.46,15440.49,1088.47
8/11/2021 3:40,2673.18,15360.28,1081.64
8/11/2021 3:45,2612.45,15322.2,1072.62
